‘ª’è’n“_[mm],R[V],theta[ƒ¦]
0.0,1.33414325003128e-07,158.769738683536
2.0,1.05247377761626e-07,-179.937081380884
4.0,1.27823990664686e-07,-127.360257138979
6.0,1.57832756531174e-07,-87.2221919238113
8.0,1.52012806464403e-07,-89.4201549795308
10.0,1.13859413699164e-07,-83.6248765166698
12.0,1.0891080305144e-07,-145.017667858545
14.0,6.44577499369237e-08,-150.380233640733
16.0,5.50626675741002e-08,38.6026794677529
18.0,8.74604128960582e-08,53.7026509027646
20.0,1.09144380008528e-07,69.5986870923007
22.0,9.21060618954658e-08,49.845928570046
24.0,1.2487634623259e-07,57.1097011077625
26.0,1.7426179086994e-07,46.7656348856598
28.0,1.54864458971108e-07,42.0533575810971
30.0,1.26261729318472e-07,-55.2817722941738
32.0,1.18356190054213e-07,-95.1409139928334
34.0,7.9703173777889e-08,-151.066118175505
36.0,9.52086037216906e-08,-148.261555746338
38.0,7.06916972283596e-08,144.102482663898
40.0,1.26248319020245e-07,148.117837081938
42.0,8.25069205153351e-08,142.601475362481
44.0,1.0661141591473e-07,82.2668470220098
46.0,1.11480828987628e-07,91.7011856808173
48.0,9.8469558596986e-08,108.231967767786
50.0,9.32542131804835e-08,154.368554471246
52.0,1.08806165560227e-07,-153.133978978798
54.0,1.16148315129003e-07,-155.523390518537
56.0,1.80794721572267e-07,-164.554114029559
58.0,1.04018437102029e-07,-141.717462801987
60.0,1.1998975952144e-07,-93.702165370098
62.0,1.35089772466304e-07,-84.9584273991676
64.0,1.20714522737703e-07,-72.4850233539712
66.0,1.04865977397596e-07,-60.7668152664314
68.0,6.65073116603234e-08,-99.9059594736832
70.0,9.79323798823345e-08,-166.733662257222
72.0,6.73264591082632e-08,160.85068741944
74.0,5.50201297758303e-08,139.211677428065
76.0,4.77374979677932e-08,-139.304810079404
78.0,7.98755648085754e-08,-130.350969046869
80.0,5.57567804927739e-08,-126.485034993331
82.0,6.45590424204375e-08,-151.31248436734
84.0,2.82200924810049e-08,-79.6667468945879
86.0,1.12014084165862e-07,-133.084238036852
88.0,5.15175339957092e-08,-124.825313395209
90.0,5.6672024014055e-09,-151.103535406822
92.0,1.01803936362101e-07,-152.673619899444
94.0,1.08602624601981e-07,-131.207793810235
96.0,1.2022100248261e-07,-142.135119943272
98.0,3.17804656102829e-08,-142.363790059155
100.0,8.00353549850158e-08,-27.4210846244465
102.0,7.64384505701668e-08,-50.1268735241415
104.0,1.19584311346043e-08,131.10592245146
106.0,4.11303257850668e-08,164.407265143013
108.0,9.04078488715386e-08,163.542760262574
110.0,9.72509194331008e-08,173.575022253485
112.0,3.24403550466102e-08,-40.6477156754993
114.0,1.69121279564137e-07,-3.75197424159904
116.0,7.59184680004931e-08,-4.81725025073086
118.0,8.29632436612106e-08,-78.5050403333449
120.0,1.12487677379656e-07,-88.0475406299794
122.0,5.47302975921335e-08,101.313302132915
124.0,3.76200593346357e-08,104.580352810548
126.0,2.80273768092364e-08,-68.1221114118494
128.0,3.61681778645469e-08,172.772128308745
130.0,1.44433154516067e-07,146.266400598944
132.0,1.13719669386544e-07,150.204916661693
134.0,4.12570977617488e-08,178.857072882463
136.0,5.31601854073951e-08,124.321189410096
138.0,6.59060080104639e-08,152.04657144
140.0,8.7831840699538e-08,-153.85046251278
142.0,6.30894690673404e-08,-102.039352834222
144.0,6.51067074848674e-08,-102.250528512076
146.0,1.06639842934007e-07,-120.604385634633
148.0,1.41170146411847e-07,-100.933910464819
150.0,4.5686662778088e-08,-118.290451989658
152.0,1.08022820165848e-07,146.507535376647
154.0,8.95991267624223e-08,157.859140663658
156.0,1.08135560380495e-07,-130.603284170759
158.0,4.46930998033839e-08,-50.9624972359741
160.0,6.69281866272153e-08,-28.9818079532402
162.0,3.68442648632326e-08,95.0206822009046
164.0,1.07061077892941e-07,121.197608936675
166.0,1.77893998197181e-07,141.487700898313
168.0,1.08354712301758e-07,134.653583558028
170.0,7.69351343651323e-08,-174.718741193887
172.0,3.41129450985517e-08,-13.661697358651
174.0,9.43681048814755e-08,30.6631240391091
176.0,1.42898936699781e-08,-74.6603997548473
178.0,5.25260816460113e-08,-143.292488983839
180.0,8.26940840040821e-08,-131.878924079111
182.0,1.06374335455666e-07,-139.511006843841
184.0,8.20338556791599e-08,-126.729063360245
186.0,6.81025772145921e-08,-140.300995274848
188.0,1.08827248509709e-07,-169.18248759663
190.0,1.01749943238231e-07,-148.397795015127
192.0,3.17489832704506e-08,-109.264613777484
194.0,3.7377958189204e-08,-145.001613458138
196.0,1.17032894367489e-07,128.765962451511
198.0,1.2696418548056e-07,135.198674209309
200.0,6.58793317705424e-08,145.823835906366
202.0,8.64931887762242e-08,125.450574134618
204.0,9.16655406599052e-08,117.709706388588
206.0,4.41717672470436e-08,44.8413939839967
208.0,9.29969223717713e-08,-58.7754722948514
210.0,7.25196812905091e-08,-129.759495554506
212.0,1.33256682146522e-07,-57.119076469902
214.0,1.34320648874775e-07,-60.0140143435934
216.0,4.43062536053673e-08,-81.9513441541349
218.0,3.42973539741356e-08,-135.814094203095
220.0,7.80037868675847e-08,-148.729287374762
222.0,4.42853217123884e-08,-128.642061469189
224.0,4.02018996810261e-08,-81.9112290119457
226.0,4.55922629189041e-08,-80.5390167775515
228.0,7.10723120885067e-08,-73.1388927115845
230.0,5.07820884978589e-08,-36.3089357781941
232.0,7.45675957265289e-08,-18.1710782727298
234.0,1.25944187154401e-07,27.7215374240287
236.0,2.27215882598225e-07,57.9639173934626
238.0,1.62553257283089e-07,64.5831239226905
240.0,1.26630060331456e-07,88.3523424651423
242.0,1.89648975105161e-08,-46.7973220113246
244.0,1.6308946356494e-07,-79.6633402604189
246.0,1.59381043249642e-07,-108.161985731951
